Supply segment,,,Pad,LQFP176,,,,LQFP144/100,,,
,,,,Weight 5 V,,Weight 3.3 V,,Weight 5 V,,Weight 3.3 V,
"LQFP
176","LQFP
144","LQFP
100",,"SRC(2) =
0",SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1
6,4,4,PC[0],6%,9%,7%,8%,7%,10%,8%,8%
,,,PH[9],7%,—,8%,—,7%,—,9%,—
,,,PE[2],7%,10%,8%,9%,8%,11%,9%,10%
,,,PE[3],7%,10%,9%,9%,8%,12%,10%,10%
,,,PC[5],7%,11%,9%,9%,8%,12%,10%,11%
,,,PC[4],8%,11%,9%,10%,9%,13%,10%,11%
,,,PE[4],8%,11%,9%,10%,9%,13%,11%,12%
,,,PE[5],8%,11%,10%,10%,9%,14%,11%,12%
,,—,PH[4],8%,12%,10%,10%,10%,14%,12%,12%
,,—,PH[5],8%,—,10%,—,10%,—,12%,—
,,—,PH[6],8%,12%,10%,11%,10%,15%,12%,13%
,,—,PH[7],9%,12%,10%,11%,11%,15%,13%,13%
,,—,PH[8],9%,12%,10%,11%,11%,16%,13%,14%
,,4,PE[6],9%,12%,10%,11%,11%,16%,13%,14%
,,,PE[7],9%,12%,10%,11%,11%,16%,14%,14%
,—,—,PI[3],9%,—,10%,—,—,—,—,—
,—,—,PI[2],9%,—,10%,—,—,—,—,—
,—,—,PI[1],9%,—,10%,—,—,—,—,—
,—,—,PI[0],9%,—,10%,—,—,—,—,—
,4,4,PC[12],8%,12%,10%,11%,12%,18%,15%,16%
,,,PC[13],8%,—,10%,—,13%,—,15%,—
,,,PC[8],8%,—,10%,—,13%,—,15%,—
,,,PB[2],8%,11%,9%,10%,13%,18%,15%,16%
