Supply segment,,,Pad,LQFP176,,,,LQFP144/100,,,
,,,,Weight 5 V,,Weight 3.3 V,,Weight 5 V,,Weight 3.3 V,
"LQFP
176","LQFP
144","LQFP
100",,"SRC(2) =
0",SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1
4,—,—,PB[11],1%,—,1%,—,—,—,—,—
,—,—,PD[12],11%,—,13%,—,—,—,—,—
,2,2,PB[12],11%,—,13%,—,15%,—,17%,—
,,,PD[13],11%,—,13%,—,14%,—,17%,—
,,,PB[13],11%,—,13%,—,14%,—,17%,—
,,,PD[14],11%,—,13%,—,14%,—,17%,—
,,,PB[14],11%,—,13%,—,14%,—,16%,—
,,,PD[15],11%,—,13%,—,13%,—,16%,—
,,,PB[15],11%,—,13%,—,13%,—,15%,—
,—,—,PI[8],10%,—,12%,—,—,—,—,—
,—,—,PI[9],10%,—,12%,—,—,—,—,—
,—,—,PI[10],10%,—,12%,—,—,—,—,—
,—,—,PI[11],10%,—,12%,—,—,—,—,—
,—,—,PI[12],10%,—,12%,—,—,—,—,—
,—,—,PI[13],10%,—,11%,—,—,—,—,—
,2,2,PA[3],9%,—,11%,—,11%,—,13%,—
,,—,PG[13],9%,13%,11%,11%,10%,14%,12%,13%
,,—,PG[12],9%,13%,10%,11%,10%,14%,12%,12%
,,—,PH[0],6%,8%,7%,7%,6%,9%,7%,8%
,,—,PH[1],6%,8%,7%,7%,6%,8%,7%,7%
,,—,PH[2],5%,7%,6%,6%,5%,7%,6%,7%
,,—,PH[3],5%,7%,5%,6%,5%,7%,6%,6%
,,—,PG[1],4%,—,5%,—,4%,—,5%,—
,,—,PG[0],4%,5%,4%,5%,4%,5%,4%,5%
