Supply segment,,,Pad,LQFP176,,,,LQFP144/100,,,
,,,,Weight 5 V,,Weight 3.3 V,,Weight 5 V,,Weight 3.3 V,
"LQFP
176","LQFP
144","LQFP
100",,"SRC(2) =
0",SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1
2,1,—,PG[9],9%,—,10%,—,9%,—,10%,—
,,—,PG[8],9%,—,11%,—,9%,—,11%,—
,,1,PC[11],9%,—,11%,—,9%,—,11%,—
,,,PC[10],9%,13%,11%,12%,9%,13%,11%,12%
,,—,PG[7],9%,—,11%,—,9%,—,11%,—
,,—,PG[6],10%,14%,11%,12%,10%,14%,11%,12%
,,1,PB[0],10%,14%,12%,12%,10%,14%,12%,12%
,,,PB[1],10%,—,12%,—,10%,—,12%,—
,,—,PF[9],10%,—,12%,—,10%,—,12%,—
,,—,PF[8],10%,14%,12%,13%,10%,14%,12%,13%
,,—,PF[12],10%,15%,12%,13%,10%,15%,12%,13%
,,1,PC[6],10%,—,12%,—,10%,—,12%,—
,,,PC[7],10%,—,12%,—,10%,—,12%,—
,,—,PF[10],10%,14%,11%,12%,10%,14%,11%,12%
,,—,PF[11],9%,—,11%,—,9%,—,11%,—
,,1,PA[15],8%,12%,10%,10%,8%,12%,10%,10%
,,—,PF[13],8%,—,10%,—,8%,—,10%,—
,,1,PA[14],8%,11%,9%,10%,8%,11%,9%,10%
,,,PA[4],7%,—,9%,—,7%,—,9%,—
,,,PA[13],7%,10%,8%,9%,7%,10%,8%,9%
,,,PA[12],7%,—,8%,—,7%,—,8%,—
