Supply segment,,,Pad,LQFP176,,,,LQFP144/100,,,
,,,,Weight 5 V,,Weight 3.3 V,,Weight 5 V,,Weight 3.3 V,
"LQFP
176","LQFP
144","LQFP
100",,"SRC(2) =
0",SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1
6,4,4,PB[3],5%,—,6%,—,13%,—,15%,—
,,,PC[9],4%,—,5%,—,13%,—,15%,—
,,,PC[14],4%,—,4%,—,13%,—,15%,—
,,,PC[15],3%,4%,4%,4%,12%,18%,15%,16%
,—,—,PJ[4],3%,4%,3%,3%,—,—,—,—
1,—,—,PH[15],2%,3%,3%,3%,—,—,—,—
,—,—,PH[13],3%,4%,3%,4%,—,—,—,—
,—,—,PH[14],3%,4%,4%,4%,—,—,—,—
,—,—,PI[6],4%,—,4%,—,—,—,—,—
,—,—,PI[7],4%,—,4%,—,—,—,—,—
,4,—,PG[5],4%,—,5%,—,10%,—,12%,—
,,—,PG[4],4%,6%,5%,5%,9%,13%,11%,12%
,,—,PG[3],4%,—,5%,—,9%,—,11%,—
,,—,PG[2],4%,6%,5%,5%,9%,12%,10%,11%
,,4,PA[2],4%,—,5%,—,8%,—,10%,—
,,,PE[0],4%,—,5%,—,8%,—,9%,—
,,,PA[1],4%,—,5%,—,8%,—,9%,—
,,,PE[1],4%,6%,5%,6%,7%,10%,9%,9%
,,,PE[8],4%,6%,5%,6%,7%,10%,8%,9%
,,,PE[9],4%,—,5%,—,6%,—,8%,—
,,,PE[10],4%,—,5%,—,6%,—,7%,—
,,,PA[0],4%,6%,5%,5%,6%,8%,7%,7%
,,,PE[11],4%,—,5%,—,5%,—,6%,—
