Supply segment,,,Pad,LQFP176,,,,LQFP144/100,,,
,,,,Weight 5 V,,Weight 3.3 V,,Weight 5 V,,Weight 3.3 V,
"LQFP
176","LQFP
144","LQFP
100",,"SRC(2) =
0",SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1
3,2,2,PB[9],1%,—,1%,—,1%,—,1%,—
,,,PB[8],1%,—,1%,—,1%,—,1%,—
,,,PB[10],5%,—,6%,—,6%,—,7%,—
,,—,PF[0],5%,—,6%,—,6%,—,8%,—
,,—,PF[1],5%,—,6%,—,7%,—,8%,—
,,—,PF[2],6%,—,7%,—,7%,—,9%,—
,,—,PF[3],6%,—,7%,—,8%,—,9%,—
,,—,PF[4],6%,—,7%,—,8%,—,10%,—
,,—,PF[5],6%,—,7%,—,9%,—,10%,—
,,—,PF[6],6%,—,7%,—,9%,—,11%,—
,,—,PF[7],6%,—,7%,—,9%,—,11%,—
,—,—,PJ[3],6%,—,7%,—,—,—,—,—
,—,—,PJ[2],6%,—,7%,—,—,—,—,—
,—,—,PJ[1],6%,—,7%,—,—,—,—,—
,—,—,PJ[0],6%,—,7%,—,—,—,—,—
,—,—,PI[15],6%,—,7%,—,—,—,—,—
,—,—,PI[14],6%,—,7%,—,—,—,—,—
,2,2,PD[0],1%,—,1%,—,1%,—,1%,—
,,,PD[1],1%,—,1%,—,1%,—,1%,—
,,,PD[2],1%,—,1%,—,1%,—,1%,—
,,,PD[3],1%,—,1%,—,1%,—,1%,—
,,,PD[4],1%,—,1%,—,1%,—,1%,—
,,,PD[5],1%,—,1%,—,1%,—,1%,—
,,,PD[6],1%,—,1%,—,1%,—,2%,—
,,,PD[7],1%,—,1%,—,1%,—,2%,—
